(1920.0,)
(3120.0,)
(1560.0,)
(2160.0,)
(1640.0,)
(1440.0,)
(2220.0,)
(2160.0,)
(3240.0,)
(2280.0,)
(1800.0,)
(1800.0,)
(3480.0,)
(2240.0,)
(1720.0,)
(1820.0,)
(3060.0,)
(2340.0,)
(2220.0,)
(2220.0,)
(2560.0,)
(2480.0,)
(3680.0,)
(1680.0,)
(1320.0,)
(2460.0,)
(3000.0,)
(1800.0,)
(2340.0,)
(3540.0,)
(2280.0,)
(1680.0,)
(2680.0,)
(2420.0,)
(1920.0,)
(2440.0,)
(1860.0,)
(3080.0,)
(3300.0,)
(1440.0,)
(2820.0,)
(3480.0,)
(3060.0,)
(2520.0,)
(1980.0,)
(1980.0,)
(2280.0,)
(2460.0,)
(2580.0,)
(1740.0,)
