(2520.0,)
(1920.0,)
(2840.0,)
(3840.0,)
(2280.0,)
(3240.0,)
(2600.0,)
(3080.0,)
(2520.0,)
(2580.0,)
(2520.0,)
(2040.0,)
(2540.0,)
(2700.0,)
(3300.0,)
(2120.0,)
(2040.0,)
(2520.0,)
(2760.0,)
(3960.0,)
(1820.0,)
(4080.0,)
(3020.0,)
(1800.0,)
(4760.0,)
(2940.0,)
(2320.0,)
(2480.0,)
(2080.0,)
(1560.0,)
(3560.0,)
(2700.0,)
(2040.0,)
(2400.0,)
(2000.0,)
(2640.0,)
(2380.0,)
(1560.0,)
(2640.0,)
(2340.0,)
(2280.0,)
(2820.0,)
(3000.0,)
(3160.0,)
(2160.0,)
(1260.0,)
(1980.0,)
(1920.0,)
(2240.0,)
(2560.0,)
